"DateTime","Players","Average Players"
"2024-05-25 00:00:00",710,343
"2024-05-26 00:00:00",897,451
"2024-05-27 00:00:00",940,516
"2024-05-28 00:00:00",996,508
"2024-05-29 00:00:00",958,491
"2024-05-30 00:00:00",1106,542
"2024-05-31 00:00:00",1120,585
"2024-06-01 00:00:00",1267,727
"2024-06-02 00:00:00",1404,767
"2024-06-03 00:00:00",1398,654
"2024-06-04 00:00:00",1263,565
"2024-06-05 00:00:00",1133,549
"2024-06-06 00:00:00",1446,686
"2024-06-07 00:00:00",1589,749
"2024-06-08 00:00:00",1571,910
"2024-06-09 00:00:00",1525,917
"2024-06-10 00:00:00",1535,728
"2024-06-11 00:00:00",1981,871
"2024-06-12 00:00:00",2034,887
"2024-06-13 00:00:00",1814,819
"2024-06-14 00:00:00",1651,790
"2024-06-15 00:00:00",1819,1018
"2024-06-16 00:00:00",1713,1027
"2024-06-17 00:00:00",1792,866
"2024-06-18 00:00:00",1986,904
"2024-06-19 00:00:00",2030,917
"2024-06-20 00:00:00",2072,880
"2024-06-21 00:00:00",1655,959
"2024-06-22 00:00:00",1916,1256
"2024-06-23 00:00:00",2131,1405
"2024-06-24 00:00:00",2057,1307
"2024-06-25 00:00:00",1905,1295
"2024-06-26 00:00:00",1942,1274
"2024-06-27 00:00:00",1990,1290
"2024-06-28 00:00:00",1924,1384
"2024-06-29 00:00:00",2102,1473
"2024-06-30 00:00:00",2372,1599
"2024-07-01 00:00:00",2291,1447
"2024-07-02 00:00:00",2184,1454
"2024-07-03 00:00:00",2159,1423
"2024-07-04 00:00:00",2043,1422
"2024-07-05 00:00:00",2318,1485
"2024-07-06 00:00:00",2373,1665
"2024-07-07 00:00:00",2648,1796
"2024-07-08 00:00:00",2497,1475
"2024-07-09 00:00:00",2114,1415
"2024-07-10 00:00:00",1871,1253
"2024-07-11 00:00:00",1949,1309
"2024-07-12 00:00:00",2095,1418
"2024-07-13 00:00:00",2372,1576
"2024-07-14 00:00:00",2447,1613
"2024-07-15 00:00:00",2052,1353
"2024-07-16 00:00:00",1926,1326
"2024-07-17 00:00:00",1941,1246
"2024-07-18 00:00:00",1603,1108
"2024-07-19 00:00:00",2107,1241
"2024-07-20 00:00:00",2375,1567
"2024-07-21 00:00:00",2338,1745
"2024-07-22 00:00:00",2160,1490
"2024-07-23 00:00:00",2170,1495
"2024-07-24 00:00:00",2087,1472
"2024-07-25 00:00:00",2110,1423
"2024-07-26 00:00:00",2203,1525
"2024-07-27 00:00:00",2224,1641
"2024-07-28 00:00:00",2694,1816
"2024-07-29 00:00:00",2577,1582
"2024-07-30 00:00:00",2618,1617
"2024-07-31 00:00:00",2441,1546
"2024-08-01 00:00:00",2261,1406
"2024-08-02 00:00:00",2283,1642
"2024-08-03 00:00:00",3484,2472
"2024-08-04 00:00:00",4164,2905
"2024-08-05 00:00:00",4148,2697
"2024-08-06 00:00:00",4877,2942
"2024-08-07 00:00:00",5876,3500
"2024-08-08 00:00:00",7510,4284
"2024-08-09 00:00:00",9899,5663
"2024-08-10 00:00:00",12008,6988
"2024-08-11 00:00:00",16947,9159
"2024-08-12 00:00:00",18254,9905
"2024-08-13 00:00:00",23327,12464
"2024-08-14 00:00:00",23335,15367
"2024-08-15 00:00:00",27128,18093
"2024-08-16 00:00:00",34777,21578
"2024-08-17 00:00:00",41569,25198
"2024-08-18 00:00:00",44512,27511
"2024-08-19 00:00:00",35510,23269
"2024-08-20 00:00:00",32389,21484
"2024-08-21 00:00:00",30839,20532
"2024-08-22 00:00:00",29341,19129
"2024-08-23 00:00:00",24416,16257
"2024-08-24 00:00:00",64054,39786
"2024-08-25 00:00:00",89203,52343
"2024-08-26 00:00:00",82447,51538
"2024-08-27 00:00:00",92707,58472
"2024-08-28 00:00:00",98535,64550
"2024-08-29 00:00:00",106447,67642
"2024-08-30 00:00:00",127256,81627
"2024-08-31 00:00:00",145122,96486
"2024-09-01 00:00:00",164855,107192
"2024-09-02 00:00:00",171490,102454
"2024-09-03 00:00:00",133906,88892
"2024-09-04 00:00:00",133368,87661
"2024-09-05 00:00:00",133241,89845
"2024-09-06 00:00:00",138725,95270
"2024-09-07 00:00:00",153072,110252
"2024-09-08 00:00:00",163803,115439
"2024-09-09 00:00:00",126182,86654
"2024-09-10 00:00:00",115339,81879
"2024-09-11 00:00:00",112468,78536
"2024-09-12 00:00:00",111482,78711
"2024-09-13 00:00:00",130223,91903
"2024-09-14 00:00:00",143873,106361
"2024-09-15 00:00:00",153457,110807
"2024-09-16 00:00:00",130877,94223
"2024-09-17 00:00:00",123679,94207
"2024-09-18 00:00:00",122436,87829
"2024-09-19 00:00:00",125213,88476
"2024-09-20 00:00:00",129214,91105
"2024-09-21 00:00:00",144929,106815
"2024-09-22 00:00:00",151680,108441
"2024-09-23 00:00:00",123025,85392
"2024-09-24 00:00:00",127719,83749
"2024-09-25 00:00:00",115393,79340
"2024-09-26 00:00:00",108473,76429
"2024-09-27 00:00:00",119692,86223
"2024-09-28 00:00:00",125726,95776
"2024-09-29 00:00:00",125872,94469
"2024-09-30 00:00:00",107167,76375
"2024-10-01 00:00:00",101081,71986
"2024-10-02 00:00:00",95361,68571
"2024-10-03 00:00:00",91322,66655
"2024-10-04 00:00:00",93625,66975
"2024-10-05 00:00:00",99732,75710
"2024-10-06 00:00:00",102409,76255
"2024-10-07 00:00:00",86232,61468
"2024-10-08 00:00:00",81591,57609
"2024-10-09 00:00:00",79763,56283
"2024-10-10 00:00:00",77220,53941
"2024-10-11 00:00:00",82795,58632
"2024-10-12 00:00:00",90252,66124
"2024-10-13 00:00:00",92458,68118
"2024-10-14 00:00:00",82606,56422
"2024-10-15 00:00:00",78558,53925
"2024-10-16 00:00:00",83512,55398
"2024-10-17 00:00:00",80396,52688
"2024-10-18 00:00:00",77458,52734
"2024-10-19 00:00:00",86220,61898
"2024-10-20 00:00:00",84375,61258
"2024-10-21 00:00:00",73091,48031
"2024-10-22 00:00:00",72028,48218
"2024-10-23 00:00:00",70889,48530
"2024-10-24 00:00:00",70186,47284
"2024-10-25 00:00:00",72724,50799
"2024-10-26 00:00:00",76670,55628
"2024-10-27 00:00:00",79747,55854
"2024-10-28 00:00:00",66492,44758
"2024-10-29 00:00:00",64910,43650
"2024-10-30 00:00:00",59839,41916
"2024-10-31 00:00:00",56813,40209
"2024-11-01 00:00:00",60483,40526
"2024-11-02 00:00:00",66031,45593
"2024-11-03 00:00:00",69403,47629
"2024-11-04 00:00:00",56361,40281
"2024-11-05 00:00:00",55247,37750
"2024-11-06 00:00:00",52584,35699
"2024-11-07 00:00:00",51388,34944
"2024-11-08 00:00:00",54910,38038
"2024-11-09 00:00:00",57908,42485
"2024-11-10 00:00:00",58769,41886
"2024-11-11 00:00:00",51313,34384
